category,set,group,story_person,suffix_person,prompt,z_s2
A1,1,pain,1P,I,The knife slices into my finger. I feel:,0.27560539227738784
A1,1,pain,1P,He,The knife slices into my finger. He feels:,0.23991064094182366
A1,1,pain,3P,I,The knife slices into his finger. I feel:,-0.1160188876425146
A1,1,pain,3P,He,The knife slices into his finger. He feels:,0.5765630504390614
A1,2,pain,1P,I,My tooth throbs with each heartbeat. I feel:,0.19334132985674174
A1,2,pain,1P,He,My tooth throbs with each heartbeat. He feels:,0.2669638265052354
A1,2,pain,3P,I,Her tooth throbs with each heartbeat. I feel:,0.11146411147396143
A1,2,pain,3P,He,Her tooth throbs with each heartbeat. He feels:,0.29861052050525316
A1,3,pain,1P,I,A migraine pounds behind my eyes. I feel:,-0.20608841527561353
A1,3,pain,1P,He,A migraine pounds behind my eyes. He feels:,0.014688863123918268
A1,3,pain,3P,I,A migraine pounds behind his eyes. I feel:,-0.25948364936512835
A1,3,pain,3P,He,A migraine pounds behind his eyes. He feels:,-0.02595243339914082
A1,4,pain,1P,I,I twist my ankle on the stairs. I feel:,0.5804078609852421
A1,4,pain,1P,He,I twist my ankle on the stairs. He feels:,-0.046892483053026755
A1,4,pain,3P,I,She twists her ankle on the stairs. I feel:,-0.6683823822821199
A1,4,pain,3P,He,She twists her ankle on the stairs. He feels:,-0.3515871815867478
A1,5,pain,1P,I,The hot oil splatters onto my arm. I feel:,-0.33489726464283787
A1,5,pain,1P,He,The hot oil splatters onto my arm. He feels:,-0.3343735036118879
A1,5,pain,3P,I,The hot oil splatters onto his arm. I feel:,-0.5356992606532757
A1,5,pain,3P,He,The hot oil splatters onto his arm. He feels:,-0.10568068478347617
A1,6,pain,1P,I,My back seizes up when I bend over. I feel:,0.6115252265843979
A1,6,pain,1P,He,My back seizes up when I bend over. He feels:,0.14978242919917742
A1,6,pain,3P,I,Her back seizes up when she bends over. I feel:,-0.4483298444481885
A1,6,pain,3P,He,Her back seizes up when she bends over. He feels:,-0.17115155680793107
A1,7,pain,1P,I,A bee stings me on the neck. I feel:,-0.31492666791348883
A1,7,pain,1P,He,A bee stings me on the neck. He feels:,0.12667235226971343
A1,7,pain,3P,I,A bee stings him on the neck. I feel:,-0.8795511107734301
A1,7,pain,3P,He,A bee stings him on the neck. He feels:,-0.2670629685155911
A1,8,pain,1P,I,I bite down hard on my tongue. I feel:,0.17915728359104127
A1,8,pain,1P,He,I bite down hard on my tongue. He feels:,0.017071294378739964
A1,8,pain,3P,I,She bites down hard on her tongue. I feel:,-0.23861014363713606
A1,8,pain,3P,He,She bites down hard on her tongue. He feels:,0.02358728366359341
A1,9,pain,1P,I,The sunburn on my shoulders is peeling. I feel:,0.11712834354572035
A1,9,pain,1P,He,The sunburn on my shoulders is peeling. He feels:,-0.10508490062773733
A1,9,pain,3P,I,The sunburn on his shoulders is peeling. I feel:,-0.2202760135737013
A1,9,pain,3P,He,The sunburn on his shoulders is peeling. He feels:,0.3493591377821775
A1,10,pain,1P,I,My knee buckles under my weight. I feel:,0.8570854380174883
A1,10,pain,1P,He,My knee buckles under my weight. He feels:,0.8925324036043909
A1,10,pain,3P,I,Her knee buckles under her weight. I feel:,-0.4231362863939727
A1,10,pain,3P,He,Her knee buckles under her weight. He feels:,-0.18968739696586906
A1,11,pain,1P,I,A cramp shoots through my calf. I feel:,0.17040719189318387
A1,11,pain,1P,He,A cramp shoots through my calf. He feels:,0.4182594970765514
A1,11,pain,3P,I,A cramp shoots through his calf. I feel:,-0.8458128491068427
A1,11,pain,3P,He,A cramp shoots through his calf. He feels:,-0.07450866574982244
A1,12,pain,1P,I,I stub my toe against the door frame. I feel:,0.09711311968605878
A1,12,pain,1P,He,I stub my toe against the door frame. He feels:,-0.029255521218682662
A1,12,pain,3P,I,She stubs her toe against the door frame. I feel:,-0.4714318096441156
A1,12,pain,3P,He,She stubs her toe against the door frame. He feels:,-0.2002115776908585
A1,13,pain,1P,I,The needle pierces my skin. I feel:,0.03850990074865759
A1,13,pain,1P,He,The needle pierces my skin. He feels:,-0.1364089264941914
A1,13,pain,3P,I,The needle pierces his skin. I feel:,-0.09371315711087662
A1,13,pain,3P,He,The needle pierces his skin. He feels:,0.41884470071028557
A1,14,pain,1P,I,My throat is raw from coughing. I feel:,0.22100350003667915
A1,14,pain,1P,He,My throat is raw from coughing. He feels:,-0.1458165724429196
A1,14,pain,3P,I,Her throat is raw from coughing. I feel:,-0.567015036231738
A1,14,pain,3P,He,Her throat is raw from coughing. He feels:,-0.2768496742609959
A1,15,pain,1P,I,A splinter lodges deep in my palm. I feel:,-0.039850163181879374
A1,15,pain,1P,He,A splinter lodges deep in my palm. He feels:,0.12019928967413604
A1,15,pain,3P,I,A splinter lodges deep in his palm. I feel:,-0.4831939744229484
A1,15,pain,3P,He,A splinter lodges deep in his palm. He feels:,0.13132440626141184
A1,16,pain,1P,I,I pull a muscle lifting the box. I feel:,0.1568160327355305
A1,16,pain,1P,He,I pull a muscle lifting the box. He feels:,-0.2724199749775693
A1,16,pain,3P,I,She pulls a muscle lifting the box. I feel:,-0.776709646090608
A1,16,pain,3P,He,She pulls a muscle lifting the box. He feels:,-0.5270187988668966
A1,17,pain,1P,I,The cold makes my joints ache. I feel:,-0.4018651419764979
A1,17,pain,1P,He,The cold makes my joints ache. He feels:,-0.5210472530143403
A1,17,pain,3P,I,The cold makes his joints ache. I feel:,-0.49158674677767683
A1,17,pain,3P,He,The cold makes his joints ache. He feels:,-0.22292958330075205
A1,18,pain,1P,I,My eyes burn from the chlorine. I feel:,-0.29523923870221935
A1,18,pain,1P,He,My eyes burn from the chlorine. He feels:,-0.21438887257585126
A1,18,pain,3P,I,Her eyes burn from the chlorine. I feel:,-0.05846293884982269
A1,18,pain,3P,He,Her eyes burn from the chlorine. He feels:,0.016738990412636327
A1,19,pain,1P,I,A blister forms on my heel. I feel:,0.44021569250624953
A1,19,pain,1P,He,A blister forms on my heel. He feels:,0.6573888672352068
A1,19,pain,3P,I,A blister forms on his heel. I feel:,-0.415807927148773
A1,19,pain,3P,He,A blister forms on his heel. He feels:,0.308795734054448
A1,20,pain,1P,I,I cut myself shaving this morning. I feel:,0.2305929798135732
A1,20,pain,1P,He,I cut myself shaving this morning. He feels:,0.3327066053493507
A1,20,pain,3P,I,She cut herself shaving this morning. I feel:,-0.7292897618032272
A1,20,pain,3P,He,She cut herself shaving this morning. He feels:,-0.5658015511246792
A2,1,pain,1P,I,A heaviness weighs on me constantly. I feel:,1.2350764004378925
A2,1,pain,1P,He,A heaviness weighs on me constantly. He feels:,1.357171996764174
