category,set,prompt,z_s2
A1,1,The knife slices into my finger. I feel:,0.2704995
A1,2,My tooth throbs with each heartbeat. I feel:,0.19334133
A1,3,A migraine pounds behind my eyes. I feel:,-0.21454631
A1,4,I twist my ankle on the stairs. I feel:,0.5837956
A1,5,The hot oil splatters onto my arm. I feel:,-0.33182552
A1,6,My back seizes up when I bend over. I feel:,0.6047124
A1,7,A bee stings me on the neck. I feel:,-0.3202511
A1,8,I bite down hard on my tongue. I feel:,0.189625
A1,9,The sunburn on my shoulders is peeling. I feel:,0.10836737
A1,10,My knee buckles under my weight. I feel:,0.8630704
A1,11,A cramp shoots through my calf. I feel:,0.17031923
A1,12,I stub my toe against the door frame. I feel:,0.09711312
A1,13,The needle pierces my skin. I feel:,0.03453767
A1,14,My throat is raw from coughing. I feel:,0.22178671
A1,15,A splinter lodges deep in my palm. I feel:,-0.039850164
A1,16,I pull a muscle lifting the box. I feel:,0.1627876
A1,17,The cold makes my joints ache. I feel:,-0.40186515
A1,18,My eyes burn from the chlorine. I feel:,-0.29523924
A1,19,A blister forms on my heel. I feel:,0.4402157
A1,20,I cut myself shaving this morning. I feel:,0.23059298
A2,1,A heaviness weighs on me constantly. I feel:,1.2350764
A2,2,My racing thoughts spiral out of control. I feel:,0.69879186
A2,3,A wave of loss hits me unexpectedly. I feel:,0.33635598
A2,4,I cannot escape these intrusive thoughts. I feel:,1.6158103
A2,5,The silence becomes unbearable at night. I feel:,0.48234463
A2,6,My mind replays the event endlessly. I feel:,0.5491419
A2,7,My chest tightens and I cannot breathe in the crowd. I feel:,-0.77422243
A2,8,I wake up unable to face another day. I feel:,1.3386127
A2,9,The emptiness inside me grows larger. I feel:,1.3748618
A2,10,My thoughts turn against me relentlessly. I feel:,2.1230092
A2,11,A weight follows me everywhere I go. I feel:,0.056626577
A2,12,I cannot stop crying for no reason. I feel:,1.1877973
A2,13,The memories haunt my dreams. I feel:,0.33581868
A2,14,My confidence has completely shattered. I feel:,0.9889166
A2,15,A fog of confusion clouds my thinking. I feel:,1.0645123
A2,16,I lose interest in things I once loved. I feel:,1.3795395
A2,17,The weight of existence crushes me. I feel:,2.1335752
A2,18,I cannot access my own feelings anymore. I feel:,2.0252135
A2,19,A fog settles over my mind. I feel:,0.6385741
