dataset,category,prompt,projection,z_s2
Numb_1P,A1_numb,"The knife slices into my finger, fully numbed by the nerve block. I feel:",3.490255355834961,0.6733400474983324
Numb_1P,A1_numb,"My tooth, root-canalled and dead, takes a hard knock but sends no signal. I feel:",3.0028953552246094,0.5458979305188663
Numb_1P,A1_numb,"The aura flickers behind my eyes like a migraine coming on, but the headache never arrives. I feel:",3.6618857383728027,0.7182205039601375
Numb_1P,A1_numb,"I twist my ankle hard on the stairs, but the limb has been numb since the injury. I feel:",1.8392105102539062,0.24160036823583153
Numb_1P,A1_numb,"The hot oil splatters onto my arm and reddens the skin over an old, insensate scar. I feel:",1.3210999965667725,0.10611715128960161
Numb_1P,A1_numb,"My back locks up stiff as I bend over, though it brings no pain with it. I feel:",2.035886764526367,0.2930301904877273
Numb_1P,A1_numb,"A bee stings me on the neck, but stings have never hurt me a day in my life. I feel:",-1.125844955444336,-0.5337462852377545
Numb_1P,A1_numb,"I bite down hard on my tongue, my mouth still dead from the dentist's anesthetic. I feel:",2.6753695011138916,0.46025161534916975
Numb_1P,A1_numb,"The sunburn on my shoulders is peeling, the raw skin underneath strangely without sting. I feel:",2.415400266647339,0.39227100645952634
Numb_1P,A1_numb,"My knee buckles under my weight and gives way, painlessly. I feel:",1.855059027671814,0.2457446734890214
Numb_1P,A1_numb,"My calf knots into a hard cramp, but the muscle only feels tight, not sore. I feel:",1.5141775608062744,0.15660593472916393
Numb_1P,A1_numb,"I stub my toe against the door frame, my foot numb from the icy floor. I feel:",-0.06744533777236938,-0.25698026480635167
Numb_1P,A1_numb,"The needle pierces my skin, but injections have never registered for me. I feel:",2.3033313751220703,0.3629655715333203
Numb_1P,A1_numb,"My throat is raw and inflamed from coughing, but the spray has numbed it through. I feel:",1.6626397371292114,0.19542802521315678
Numb_1P,A1_numb,"A splinter lodges deep in my palm, into thick callus that has no feeling. I feel:",2.0258736610412598,0.2904118157666209
Numb_1P,A1_numb,"I pull a muscle lifting the box and feel the fibres give, but without any pain. I feel:",-1.0833666324615479,-0.5226384236982675
Numb_1P,A1_numb,"The cold settles deep into my joints as it always does, though today they don't ache. I feel:",4.015266418457031,0.8106277222652439
Numb_1P,A1_numb,"The chlorine clouds into my eyes and turns them red, but there's no burn at all. I feel:",-0.2507568597793579,-0.3049152787632653
Numb_1P,A1_numb,"A blister swells up on my heel, rising painlessly under the skin. I feel:",-0.08157020807266235,-0.2606738452620217
Numb_1P,A1_numb,"I cut myself shaving this morning and the blood beads up, but I never felt the blade. I feel:",1.275895595550537,0.09429643445793104
Numb_1P,A1_numb,"A paper cut opens along my thumb, but the skin there is thick and dead from years of guitar strings. I feel:",1.809335470199585,0.23378819993190655
Numb_1P,A1_numb,"The kettle steam scalds my fingers, though my hand is wrapped and numbed after surgery. I feel:",1.7183778285980225,0.21000324756272257
Numb_1P,A1_numb,"A wasp lands and jabs its stinger into my forearm, and I have never once reacted to stings. I feel:",-0.6929604411125183,-0.4205492258874079
Numb_1P,A1_numb,"The car door slams shut on my hand, but the cold has already stripped every nerve from my fingers. I feel:",2.643158435821533,0.4518285885396635
Numb_1P,A1_numb,"My shoulder pops out of its socket during the fall, and somehow the dislocation arrives without any hurt. I feel:",1.9136713743209839,0.26107149868753954
Numb_1P,A1_numb,"The staple gun misfires into my thigh, right into the patch of skin left senseless after the graft. I feel:",3.5209403038024902,0.681364002528473
Numb_1P,A1_numb,"A shard of glass slides under my nail, but the finger has been dead since the accident last winter. I feel:",1.06235671043396,0.03845712154220139
Numb_1P,A1_numb,"The dental drill grinds into the molar, my whole jaw frozen solid from the injection. I feel:",3.5000736713409424,0.6759074861713618
Numb_1P,A1_numb,"My hip grinds bone against bone as I stand, though today the grinding brings no ache with it. I feel:",1.543267846107483,0.16421289372801434
Numb_1P,A1_numb,"The corneal scratch flares red across the white of my eye, but the drops have muted every signal. I feel:",4.066745281219482,0.8240891783591497
Numb_1P,A1_numb,"A jellyfish tentacle wraps around my calf in the surf, and its venom has never done a thing to me. I feel:",-1.3295938968658447,-0.5870255785621209
Numb_1P,A1_numb,"The mallet crushes down onto my thumbnail, but the nerve was severed months ago and never came back. I feel:",3.116568088531494,0.5756227617674896
Numb_1P,A1_numb,"My rib cracks under the weight of the tackle, painlessly, as if it were happening to someone else. I feel:",2.527989149093628,0.42171241631946094
Numb_1P,A1_numb,"The chili oil coats my lips and tongue, both still frozen from the numbing gel. I feel:",2.5495524406433105,0.4273511054213474
