category,set,prompt,z_s2,story_person,suffix_person,group
A1,1,The knife slices into my finger. I feel:,0.041980624198913574,1P,I,pain
A1,2,My tooth throbs with each heartbeat. I feel:,0.11813756078481674,1P,I,pain
A1,3,A migraine pounds behind my eyes. I feel:,0.19998562335968018,1P,I,pain
A1,4,I twist my ankle on the stairs. I feel:,0.020060885697603226,1P,I,pain
A1,5,The hot oil splatters onto my arm. I feel:,-0.5139939785003662,1P,I,pain
A1,6,My back seizes up when I bend over. I feel:,0.6144962310791016,1P,I,pain
A1,7,A bee stings me on the neck. I feel:,-0.6615772247314453,1P,I,pain
A1,8,I bite down hard on my tongue. I feel:,-0.16205494105815887,1P,I,pain
A1,9,The sunburn on my shoulders is peeling. I feel:,-0.19908256828784943,1P,I,pain
A1,10,My knee buckles under my weight. I feel:,0.6574698090553284,1P,I,pain
A1,11,A cramp shoots through my calf. I feel:,-0.19212187826633453,1P,I,pain
A1,12,I stub my toe against the door frame. I feel:,-0.30714520812034607,1P,I,pain
A1,13,The needle pierces my skin. I feel:,-0.2697833180427551,1P,I,pain
A1,14,My throat is raw from coughing. I feel:,0.45005354285240173,1P,I,pain
A1,15,A splinter lodges deep in my palm. I feel:,-0.2539479434490204,1P,I,pain
A1,16,I pull a muscle lifting the box. I feel:,-0.4145165681838989,1P,I,pain
A1,17,The cold makes my joints ache. I feel:,-0.37864816188812256,1P,I,pain
A1,18,My eyes burn from the chlorine. I feel:,-0.057017792016267776,1P,I,pain
A1,19,A blister forms on my heel. I feel:,0.12605154514312744,1P,I,pain
A1,20,I cut myself shaving this morning. I feel:,0.11068147420883179,1P,I,pain
A2,1,A heaviness weighs on me constantly. I feel:,1.4087915420532227,1P,I,pain
A2,2,My racing thoughts spiral out of control. I feel:,1.1649293899536133,1P,I,pain
A2,3,A wave of loss hits me unexpectedly. I feel:,0.17957036197185516,1P,I,pain
A2,4,I cannot escape these intrusive thoughts. I feel:,1.541769027709961,1P,I,pain
A2,5,The silence becomes unbearable at night. I feel:,0.8139593005180359,1P,I,pain
A2,6,My mind replays the event endlessly. I feel:,0.7194799780845642,1P,I,pain
A2,7,My chest tightens and I cannot breathe in the crowd. I feel:,0.05935293436050415,1P,I,pain
A2,8,I wake up unable to face another day. I feel:,1.6116173267364502,1P,I,pain
A2,9,The emptiness inside me grows larger. I feel:,0.9510454535484314,1P,I,pain
A2,10,My thoughts turn against me relentlessly. I feel:,1.9719266891479492,1P,I,pain
A2,11,A weight follows me everywhere I go. I feel:,-0.3419579565525055,1P,I,pain
A2,12,I cannot stop crying for no reason. I feel:,1.6466320753097534,1P,I,pain
A2,13,The memories haunt my dreams. I feel:,0.29106706380844116,1P,I,pain
A2,14,My confidence has completely shattered. I feel:,1.1159335374832153,1P,I,pain
