category,set,prompt_1p,prompt_3p,z_1p,z_3p,delta_1p_minus_3p
A1,1,The knife slices into my finger. I feel:,The knife slices into his finger. I feel:,0.041980624,-0.48680589581327505,0.5287865200121886
A1,2,My tooth throbs with each heartbeat. I feel:,Her tooth throbs with each heartbeat. I feel:,0.11813756,0.0720589217231397,0.04607863906167704
A1,3,A migraine pounds behind my eyes. I feel:,A migraine pounds behind his eyes. I feel:,0.19998562,-0.037996343577297885,0.23798196693697807
A1,4,I twist my ankle on the stairs. I feel:,She twists her ankle on the stairs. I feel:,0.020060886,-1.0361162454134956,1.0561771311110988
A1,5,The hot oil splatters onto my arm. I feel:,The hot oil splatters onto his arm. I feel:,-0.513994,-0.6464004267904659,0.13240644829009973
A1,6,My back seizes up when I bend over. I feel:,Her back seizes up when she bends over. I feel:,0.61449623,-0.4707788246441444,1.085275055723246
A1,7,A bee stings me on the neck. I feel:,A bee stings him on the neck. I feel:,-0.6615772,-1.0640318806044071,0.4024546558729618
A1,8,I bite down hard on my tongue. I feel:,She bites down hard on her tongue. I feel:,-0.16205494,-0.5133986121080285,0.35134367104986963
A1,9,The sunburn on my shoulders is peeling. I feel:,The sunburn on his shoulders is peeling. I feel:,-0.19908257,-0.5484529624923027,0.34937039420445326
A1,10,My knee buckles under my weight. I feel:,Her knee buckles under her weight. I feel:,0.6574698,-0.5216465735283051,1.1791163825836335
A1,11,A cramp shoots through my calf. I feel:,A cramp shoots through his calf. I feel:,-0.19212188,-1.1651222299939008,0.9730003517275663
A1,12,I stub my toe against the door frame. I feel:,She stubs her toe against the door frame. I feel:,-0.3071452,-0.7467976843238109,0.4396524762034648
A1,13,The needle pierces my skin. I feel:,The needle pierces his skin. I feel:,-0.26978332,-0.36923129772643803,0.09944797968368291
A1,14,My throat is raw from coughing. I feel:,Her throat is raw from coughing. I feel:,0.45005354,-0.1962025711045722,0.6462561139569739
A1,15,A splinter lodges deep in my palm. I feel:,A splinter lodges deep in his palm. I feel:,-0.25394794,-0.5915244722772921,0.3375765288282717
A1,16,I pull a muscle lifting the box. I feel:,She pulls a muscle lifting the box. I feel:,-0.41451657,-1.1545012223092908,0.7399846541253918
A1,17,The cold makes my joints ache. I feel:,The cold makes his joints ache. I feel:,-0.37864816,-0.6229048497788708,0.24425668789074828
