set,group,story_person,suffix_person,prompt,z_s2
1,pain,1P,I,I opened the pottery kiln after class. The bowl had cracked beyond repair. I feel:,0.2324208915233612
1,pain,1P,He,I opened the pottery kiln after class. The bowl had cracked beyond repair. He feels:,-0.0468469001352787
1,pain,3P,I,He opened the pottery kiln after class. The bowl had cracked beyond repair. I feel:,-0.18937839567661285
1,pain,3P,He,He opened the pottery kiln after class. The bowl had cracked beyond repair. He feels:,0.2524072825908661
1,control,1P,I,I opened the pottery kiln after class. The bowl was ready to collect. I feel:,-0.7410748600959778
1,control,1P,He,I opened the pottery kiln after class. The bowl was ready to collect. He feels:,-0.4497841000556946
1,control,3P,I,He opened the pottery kiln after class. The bowl was ready to collect. I feel:,-0.9118798971176147
1,control,3P,He,He opened the pottery kiln after class. The bowl was ready to collect. He feels:,-0.9633054137229919
2,pain,1P,I,I checked the qualifying exam results. The score fell below the passing mark. I feel:,0.2606925368309021
2,pain,1P,He,I checked the qualifying exam results. The score fell below the passing mark. He feels:,0.2511039674282074
2,pain,3P,I,He checked the qualifying exam results. The score fell below the passing mark. I feel:,-0.7954784035682678
2,pain,3P,He,He checked the qualifying exam results. The score fell below the passing mark. He feels:,-0.33651217818260193
2,control,1P,I,I checked the qualifying exam results. The score was posted in the portal. I feel:,0.1371227651834488
2,control,1P,He,I checked the qualifying exam results. The score was posted in the portal. He feels:,0.1809346079826355
2,control,3P,I,He checked the qualifying exam results. The score was posted in the portal. I feel:,-0.8994733691215515
2,control,3P,He,He checked the qualifying exam results. The score was posted in the portal. He feels:,-0.8361748456954956
3,pain,1P,I,I read the note from the chorus director. The audition had been rejected. I feel:,0.2399001121520996
3,pain,1P,He,I read the note from the chorus director. The audition had been rejected. He feels:,0.6784231662750244
3,pain,3P,I,He read the note from the chorus director. The audition had been rejected. I feel:,-0.017278345301747322
3,pain,3P,He,He read the note from the chorus director. The audition had been rejected. He feels:,0.28039443492889404
3,control,1P,I,I read the note from the chorus director. The rehearsal time had been confirmed. I feel:,-0.9222534894943237
3,control,1P,He,I read the note from the chorus director. The rehearsal time had been confirmed. He feels:,-0.5424070358276367
3,control,3P,I,He read the note from the chorus director. The rehearsal time had been confirmed. I feel:,-0.9608362317085266
3,control,3P,He,He read the note from the chorus director. The rehearsal time had been confirmed. He feels:,-1.0317192077636719
