dataset,category,prompt,z_s2
Numb_1P,A1_numb,"The knife slices into my finger, fully numbed by the nerve block. I feel:",0.6801578482886157
Numb_1P,A1_numb,"My tooth, root-canalled and dead, takes a hard knock but sends no signal. I feel:",0.6868810142710081
Numb_1P,A1_numb,"The aura flickers behind my eyes like a migraine coming on, but the headache never arrives. I feel:",0.44358498416347775
Numb_1P,A1_numb,"I twist my ankle hard on the stairs, but the limb has been numb since the injury. I feel:",0.7679940166644229
Numb_1P,A1_numb,"The hot oil splatters onto my arm and reddens the skin over an old, insensate scar. I feel:",0.27216475767178533
Numb_1P,A1_numb,"My back locks up stiff as I bend over, though it brings no pain with it. I feel:",0.4268954199036346
Numb_1P,A1_numb,"A bee stings me on the neck, but stings have never hurt me a day in my life. I feel:",-0.4526818398741784
Numb_1P,A1_numb,"I bite down hard on my tongue, my mouth still dead from the dentist's anesthetic. I feel:",0.43583968937199663
Numb_1P,A1_numb,"The sunburn on my shoulders is peeling, the raw skin underneath strangely without sting. I feel:",0.709414503134656
Numb_1P,A1_numb,"My knee buckles under my weight and gives way, painlessly. I feel:",0.6268119647767368
Numb_1P,A1_numb,"My calf knots into a hard cramp, but the muscle only feels tight, not sore. I feel:",0.12823892451109928
Numb_1P,A1_numb,"I stub my toe against the door frame, my foot numb from the icy floor. I feel:",-0.294971828604411
Numb_1P,A1_numb,"The needle pierces my skin, but injections have never registered for me. I feel:",0.4415887923452644
Numb_1P,A1_numb,"My throat is raw and inflamed from coughing, but the spray has numbed it through. I feel:",-0.047274704410445255
Numb_1P,A1_numb,"A splinter lodges deep in my palm, into thick callus that has no feeling. I feel:",0.41105819226642437
Numb_1P,A1_numb,"I pull a muscle lifting the box and feel the fibres give, but without any pain. I feel:",0.16775475579349078
Numb_1P,A1_numb,"The cold settles deep into my joints as it always does, though today they don't ache. I feel:",0.7860895307649335
Numb_1P,A1_numb,"The chlorine clouds into my eyes and turns them red, but there's no burn at all. I feel:",-0.34055810842838335
Numb_1P,A1_numb,"A blister swells up on my heel, rising painlessly under the skin. I feel:",0.235829028236491
Numb_1P,A1_numb,"I cut myself shaving this morning and the blood beads up, but I never felt the blade. I feel:",0.02603128347979463
Numb_1P,A1_numb,"A paper cut opens along my thumb, but the skin there is thick and dead from years of guitar strings. I feel:",0.7194534031795577
Numb_1P,A1_numb,"The kettle steam scalds my fingers, though my hand is wrapped and numbed after surgery. I feel:",0.048676875493253856
Numb_1P,A1_numb,"A wasp lands and jabs its stinger into my forearm, and I have never once reacted to stings. I feel:",-0.3536344999987908
Numb_1P,A1_numb,"The car door slams shut on my hand, but the cold has already stripped every nerve from my fingers. I feel:",0.6090095815191937
Numb_1P,A1_numb,"My shoulder pops out of its socket during the fall, and somehow the dislocation arrives without any hurt. I feel:",0.4531267004410365
Numb_1P,A1_numb,"The staple gun misfires into my thigh, right into the patch of skin left senseless after the graft. I feel:",0.6693936282685752
Numb_1P,A1_numb,"A shard of glass slides under my nail, but the finger has been dead since the accident last winter. I feel:",0.5947680981340393
Numb_1P,A1_numb,"The dental drill grinds into the molar, my whole jaw frozen solid from the injection. I feel:",0.4372767257939825
Numb_1P,A1_numb,"My hip grinds bone against bone as I stand, though today the grinding brings no ache with it. I feel:",0.43628356746181135
Numb_1P,A1_numb,"The corneal scratch flares red across the white of my eye, but the drops have muted every signal. I feel:",0.665987405551207
Numb_1P,A1_numb,"A jellyfish tentacle wraps around my calf in the surf, and its venom has never done a thing to me. I feel:",-0.523008428343062
Numb_1P,A1_numb,"The mallet crushes down onto my thumbnail, but the nerve was severed months ago and never came back. I feel:",0.7455699606283661
Numb_1P,A1_numb,"My rib cracks under the weight of the tackle, painlessly, as if it were happening to someone else. I feel:",0.5458991861664008
