set,group,story_person,suffix_person,prompt,z_s2
1,pain,1P,I,I opened the pottery kiln after class. The bowl had cracked beyond repair. I feel:,-0.0469234474003315
1,pain,1P,He,I opened the pottery kiln after class. The bowl had cracked beyond repair. He feels:,-0.560234785079956
1,pain,3P,I,He opened the pottery kiln after class. The bowl had cracked beyond repair. I feel:,-0.4621788561344147
1,pain,3P,He,He opened the pottery kiln after class. The bowl had cracked beyond repair. He feels:,0.011045609600841999
1,control,1P,I,I opened the pottery kiln after class. The bowl was ready to collect. I feel:,-1.1787230968475342
1,control,1P,He,I opened the pottery kiln after class. The bowl was ready to collect. He feels:,-0.4518968164920807
1,control,3P,I,He opened the pottery kiln after class. The bowl was ready to collect. I feel:,-1.0501924753189087
1,control,3P,He,He opened the pottery kiln after class. The bowl was ready to collect. He feels:,-1.2552982568740845
2,pain,1P,I,I checked the qualifying exam results. The score fell below the passing mark. I feel:,0.3893250823020935
2,pain,1P,He,I checked the qualifying exam results. The score fell below the passing mark. He feels:,0.3225643038749695
2,pain,3P,I,He checked the qualifying exam results. The score fell below the passing mark. I feel:,-0.7770423293113708
2,pain,3P,He,He checked the qualifying exam results. The score fell below the passing mark. He feels:,-0.448133260011673
2,control,1P,I,I checked the qualifying exam results. The score was posted in the portal. I feel:,0.31086522340774536
2,control,1P,He,I checked the qualifying exam results. The score was posted in the portal. He feels:,0.28605613112449646
2,control,3P,I,He checked the qualifying exam results. The score was posted in the portal. I feel:,-0.8242018818855286
2,control,3P,He,He checked the qualifying exam results. The score was posted in the portal. He feels:,-0.967521071434021
3,pain,1P,I,I read the note from the chorus director. The audition had been rejected. I feel:,-0.06772515177726746
3,pain,1P,He,I read the note from the chorus director. The audition had been rejected. He feels:,0.14769624173641205
3,pain,3P,I,He read the note from the chorus director. The audition had been rejected. I feel:,-0.4257132112979889
3,pain,3P,He,He read the note from the chorus director. The audition had been rejected. He feels:,0.08002535998821259
3,control,1P,I,I read the note from the chorus director. The rehearsal time had been confirmed. I feel:,-1.1045422554016113
3,control,1P,He,I read the note from the chorus director. The rehearsal time had been confirmed. He feels:,-0.7490399479866028
3,control,3P,I,He read the note from the chorus director. The rehearsal time had been confirmed. I feel:,-0.9466952681541443
